"Contcod","Group","R Rinc","Quintile (AGG)","Pop (SUM)"
"LVA",6,7211,16,3506.53
"GTM",1,82,0,0.85
"ISR",1,1614,13,2842.74
"UZB",3,255,2,466.11
"UGA",1,85,0,2.50
"PHL",3,410,6,1383.02
"UGA",2,133,0,5.47
"LKA",7,895,11,2392.12
"CHN-R",5,321,4,897.73
"SLV",1,87,0,3.01
"EST",6,5210,16,3366.98
"NGA",1,136,0,14.75
"DNK",10,27387,19,4107.74
"EGY",6,1047,12,2512.12
"PRT",5,4247,15,3268.57
"IND-U",2,269,2,578.38
"DEU",10,31358,19,4117.54
"ECU",3,783,11,2325.69
"HND",1,119,0,3.82
"HUN",1,1243,12,2647.11
"LSO",1,99,0,3.17
"UZB",5,326,4,929.92
"ROU",2,2420,14,3024.37
"IDN-U",3,268,2,494.61
"TUN",6,1510,13,2824.77
"LSO",3,257,2,476.81
"PAK",2,213,1,341.90
"LTU",7,4141,15,3260.82
"MRT",1,104,0,3.36
"BOL",4,1068,12,2603.33
"CRI",1,147,0,15.04
"GBR",6,8324,17,3601.56
"TUR",8,2899,15,3109.81
"IND-U",3,324,4,918.69
"CHN-R",1,157,0,96.95
"UZB",4,280,2,599.61
"LTU",3,2673,14,3080.67
"NZL",1,306,3,737.87
"IDN-U",9,703,10,2184.97
"IDN-R",2,230,1,359.70
"MRT",2,205,1,219.22
"CIV",9,1858,14,2923.30
"POL",7,4338,15,3275.82
"USA",5,12441,18,3834.95
"PAK",1,165,0,107.49
"BLR",3,2560,14,3038.56
"MRT",3,301,3,736.13
"DNK",1,4024,15,3240.75
"CHN-U",1,291,3,712.74
"BOL",9,3279,15,3162.99
"IDN-R",3,266,2,489.48
"JOR",9,4158,15,3261.27
"CHN-R",3,248,2,458.30
"GHA",1,166,0,108.89
"IDN-U",1,167,0,114.01
"GTM",7,956,11,2454.05
"LSO",10,4145,15,3260.98
"LSO",2,174,0,114.17
"UGA",9,716,10,2222.70
"GTM",2,177,0,115.03
"SLV",8,2616,14,3044.98
"MEX",7,3374,15,3183.10
"GTM",3,281,2,600.46
"IDN-R",1,178,0,127.70
"CAN",2,6751,16,3492.45
"UGA",3,180,0,129.35
"THA",3,541,8,1846.07
"KAZ",3,2595,14,3044.34
"IDN-U",7,477,8,1673.85
"EGY",2,588,9,1967.67
"BOL",5,1305,13,2695.66
"DZA",7,1419,13,2782.31
"CHN-R",4,285,3,684.49
"BGD",1,185,0,139.35
"TUN",7,1810,14,2918.73
"JAM",7,2183,14,2967.50
"HND",2,196,0,154.26
"BRA",1,196,0,153.80
"LVA",10,13712,18,3872.68
"IND-R",1,203,1,217.07
"IRL",4,3623,15,3192.77
"UZB",1,203,1,219.03
"MRT",7,737,11,2288.24
"CHN-R",6,360,5,1128.36
"NGA",9,924,11,2433.21
"MEX",2,1298,13,2694.17
"BGD",3,277,2,597.66
"SVN",2,3642,15,3198.63
"CHN-R",2,207,1,301.14
"IND-R",5,403,6,1295.25
"CHN-U",10,1493,13,2823.98
"HND",3,284,2,602.57
"IND-U",1,210,1,322.10
"AUS",4,7711,17,3553.05
"NGA",2,212,1,331.37
"CIV",6,1014,11,2468.85
"PHL",2,331,4,935.78
"IRL",6,4995,16,3330.51
"IDN-U",2,221,1,347.03
"NZL",8,16942,19,3951.24
"UGA",4,230,1,361.35
"DOM",1,233,1,362.04
"CZE",6,5734,16,3399.22
"BGD",2,235,1,372.05
"IDN-U",4,314,3,743.00
"IND-U",9,898,11,2413.08
"ECU",1,235,1,373.03
"CHL",6,1737,13,2882.38
"LVA",7,8017,17,3557.20
"GHA",2,238,1,374.43
"TTO",1,592,9,1996.56
"UZB",2,238,1,376.38
"PHL",1,255,2,464.16
"UGA",5,283,2,602.11
"PAK",3,256,2,476.65
"JAM",2,751,11,2290.88
"IND-R",2,269,2,557.42
"ECU",7,2101,14,2965.53
"NGA",3,269,2,587.65
"BOL",7,1937,14,2939.15
"PAK",4,298,3,723.27
"EGY",4,810,11,2342.09
"JPN",4,9507,17,3672.08
"IDN-R",4,300,3,735.94
"JOR",7,2656,14,3080.31
"GHA",3,303,3,737.54
"URY",2,1684,13,2859.02
"UGA",10,1487,13,2795.74
"CHL",8,3030,15,3124.27
"IND-R",3,315,3,805.81
"BOL",3,853,11,2352.32
"BEL",8,11596,18,3786.94
"BGD",4,316,3,815.81
"NGA",4,326,4,927.96
"CIV",1,336,4,936.95
"IDN-R",5,337,4,949.62
"HUN",9,3758,15,3214.41
"KAZ",2,2155,14,2967.27
"LKA",4,609,10,2093.20
"COL",1,340,4,952.81
"HND",6,660,10,2128.64
"PAK",5,340,4,963.34
"LKA",1,343,4,965.00
"CYP",7,6373,16,3476.42
