"Contcod_2008","Group_2008","RRinc_2008","Quintile(AGG)_2008","Pop(SUM)_2008"
"MLI",2,223,0,166.03
"COD",10,620,6,1862.58
"CAF",3,183,0,131.16
"KEN",2,167,0,106.37
"CHE",1,,0,0.76
"ROU",8,3267,15,4591.45
"BDI",2,168,0,107.16
"ECU",1,348,2,632.70
"DEU",7,15677,18,5679.51
"NER",9,922,9,2768.63
"PSE",10,10359,17,5411.77
"BDI",1,144,0,93.49
"MWI",1,136,0,90.74
"PAK",7,773,7,2384.44
"COD",3,76,0,23.85
"LKA",6,1111,10,3069.58
"LKA",10,4705,15,4867.97
"USA",8,29048,19,5981.57
"ZMB",1,74,0,17.18
"MOZ",2,184,0,133.39
"COD",1,38,0,7.01
"ECU",4,1448,11,3421.34
"LBR",5,236,0,188.17
"URY",7,4837,16,4899.37
"LBR",1,77,0,24.21
"LKA",4,803,7,2436.85
"COL",1,196,0,145.17
"ALB",3,1162,10,3112.67
"COD",2,60,0,13.25
"EGY",5,1056,9,3027.41
"BFA",1,193,0,136.30
"HUN",10,10733,17,5413.91
"HND",1,63,0,13.99
"EGY",1,542,5,1540.71
"SVK",2,2809,14,4318.05
"NGA",5,278,1,362.96
"PHL",3,527,4,1490.05
"COD",5,110,0,57.20
"TLS",5,503,4,1340.47
"PHL",5,781,7,2415.41
"SLV",4,1285,10,3311.04
"MDA",5,1633,11,3639.61
"CAF",1,75,0,17.60
"GTM",5,1207,10,3214.10
"BDI",3,193,0,134.75
"PSE",2,1562,11,3627.23
"BDI",5,250,0,211.59
"THA",9,4011,15,4780.11
"ZMB",7,415,3,996.41
"MDG",1,74,0,15.94
"TLS",6,569,5,1588.10
"TGO",1,221,0,160.36
"CRI",5,2594,13,4229.67
"MNE",10,10389,17,5411.83
"NGA",1,84,0,39.28
"SLV",7,2376,13,4122.48
"BRA",5,2199,13,4101.32
"COD",4,92,0,45.53
"PER",9,4971,16,4905.00
"MDG",2,108,0,47.48
"LBR",2,133,0,83.09
"FIN",4,9435,17,5333.51
"IND-U",5,595,5,1798.90
"MOZ",1,108,0,49.72
"MNE",9,6310,16,5031.68
"EGY",6,1184,10,3208.96
"BRA",7,3505,15,4657.35
"NGA",4,223,0,181.10
"MDG",5,215,0,158.99
"UGA",1,193,0,139.44
"ZMB",2,108,0,50.95
"CAF",10,2839,14,4406.78
"KEN",3,209,0,150.79
"CZE",9,9227,17,5324.63
"KEN",1,112,0,61.05
"NPL",8,969,9,2903.43
"FIN",9,18257,18,5774.83
"FJI",9,2491,13,4208.64
"BOL",1,116,0,62.01
"TZA",1,124,0,66.24
"SYC",1,917,9,2762.65
"COD",7,164,0,102.52
"NGA",2,127,0,81.30
"CZE",4,5202,16,4937.64
"AZE",1,828,8,2566.61
"GEO",9,2149,13,4068.45
"ZAF",6,1445,11,3419.93
"RWA",1,128,0,82.30
"GIN",7,669,6,1983.33
"RWA",3,226,0,183.54
"CHN-R",5,687,6,2107.17
"ECU",10,11996,18,5498.42
"PAN",6,2199,13,4101.66
"ZMB",3,148,0,94.73
"COD",6,134,0,89.34
